"code_video","likecount","viewcount","channelsubscribercount","channelvideocount","commentcount","dislikecount"
"io0OzaX4Mgg",7.0000000000000000,487.0000000000000000,513859.833333333333,58698.500000000000,3.0000000000000000,3.0000000000000000
"GFS-4h6yj6g",483.1301518438177874,10213.245119305857,782900.229934924078,43880.277657266811,221.2429501084598698,16.3774403470715835
"Zisu7HyFfZ0",62.5777777777777778,7056.2666666666666667,795337.100000000000,44318.911111111111,39.0000000000000000,11.0000000000000000
"vBgxsIRovjw",442.2727272727272727,4343.5454545454545455,3519802.636363636364,31332.363636363636,0E-20,41.2727272727272727
"qZEpl6J6Z6c",6061.1052631578947368,292219.791497975709,3522850.489878542510,31351.823886639676,4146.6376518218623482,668.3117408906882591
"ptDqVYpC2eQ",27.7876923076923077,253.1230769230769231,141123.326153846154,27953.507692307692,6.0000000000000000,1.00000000000000000000
"l6RdUCO8AdU",3865.1472392638036810,117745.907975460123,3525091.302658486708,31363.184049079755,1542.3885480572597137,242.0163599182004090
"nSoZHa9K-fI",2897.5000000000000000,104093.166666666667,3557189.000000000000,31501.000000000000,2758.3333333333333333,599.0000000000000000
"zFbNTPbrcsQ",141.5862068965517241,11841.482758620690,796661.620689655172,44367.344827586207,305.2413793103448276,137.0000000000000000
"vcUNU6lQZTs",106.9166666666666667,4859.5500000000000000,3532917.933333333333,31406.500000000000,0E-20,110.7166666666666667
"4qKHObD_aoY",649.5980148883374690,24338.826302729529,2536855.813895781638,139007.290322580645,768.9081885856079404,183.2803970223325062
"vEg0QnaCH88",575.8936170212765957,35554.914893617021,797150.744680851064,44361.425531914894,506.5531914893617021,62.2340425531914894
"kJ4uzuuGPaY",4.8090349075975359,244.3182751540041068,751068.466119096509,113064.529774127310,0E-20,0E-20
"rg0fRLAqPF4",27.7926829268292683,923.6097560975609756,778960.143292682927,43762.951219512195,10.3841463414634146,5.0000000000000000
"t9jMpq8_C7M",57.0000000000000000,4195.0000000000000000,513859.833333333333,58698.500000000000,40.0000000000000000,7.0000000000000000
"wV57xgg4rYY",48.9135135135135135,1967.3567567567567568,791787.759459459459,44214.870270270270,25.6162162162162162,8.0000000000000000
"2eS4EkUMvpY",116.0000000000000000,2517.0569948186528497,777263.906735751295,43712.777202072539,123.0000000000000000,13.0000000000000000
"GtNzEelwoOQ",222.5728643216080402,6047.9849246231155779,791687.535175879397,44208.592964824121,136.3618090452261307,13.0000000000000000
"niMdVNBet-c",1490.2921686746987952,173408.120481927711,2534119.012048192771,139000.870481927711,1173.6234939759036145,206.0542168674698795
"iwQAhOXH1Dw",239.6666666666666667,8323.5000000000000000,804382.000000000000,44436.333333333333,131.0000000000000000,16.0000000000000000
