"code_video","maxview","channelsubscribercount","channelvideocount","commentcount","likecount","dislikecount","mintimewithmaxview","year","month","day","hour","minutes","seconds"
"tJGx_xId6N8",234488,3519857.640483383686,31336.009063444109,2581.3111782477341390,5158.2719033232628399,297.0785498489425982,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"1VwoaOF6EPY",2588,778884.235294117647,43760.291021671827,69.4798761609907121,119.0000000000000000,6.0000000000000000,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"iZj8CE7fwSE",2566,3028360.418674698795,40636.228915662651,5.0000000000000000,39.2018072289156627,7.0000000000000000,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"pAWToN7-nEE",2413,496229.319277108434,58362.114457831325,30.3162650602409639,25.0000000000000000,17.0000000000000000,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"IqmkSaUw4DA",46948,496229.319277108434,58362.114457831325,54.1867469879518072,88.2620481927710843,11.2138554216867470,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"5asgDQQcELs",473806,2534119.012048192771,139000.870481927711,1455.7710843373493976,3132.1506024096385542,367.7680722891566265,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"JXJsOa9fUGM",86176,2534119.012048192771,139000.870481927711,827.4246987951807229,1210.6114457831325301,159.1054216867469880,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"YpnGQ6e1c2g",25053,2534119.012048192771,139000.870481927711,724.7740963855421687,312.7319277108433735,297.8222891566265060,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"I5H4GHkT5wI",40852,2534119.012048192771,139000.870481927711,327.3554216867469880,332.9638554216867470,104.0572289156626506,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"OvQZXVEIsX0",5901,496229.319277108434,58362.114457831325,9.7590361445783133,27.4879518072289157,5.1475903614457831,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"cbZ6qf--NHQ",6647,778871.737003058104,43759.847094801223,50.5443425076452599,134.7889908256880734,9.0000000000000000,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"teKIVB7ZJBU",3777,676409.304615384615,8905.8984615384615385,53.7600000000000000,84.1138461538461538,12.6092307692307692,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"u2iu4XO9Feg",72643,3519862.081325301205,31336.033132530120,611.3704819277108434,1362.4066265060240964,138.7409638554216867,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"S-RvIp52Eio",4659,3028360.418674698795,40636.228915662651,22.9277108433734940,29.5240963855421687,10.0030120481927711,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"iTDPDRl27bQ",653,496229.319277108434,58362.114457831325,15.2078313253012048,12.0000000000000000,8.0000000000000000,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"YLsbE3U4738",42562,2534130.369696969697,139000.896969696970,1021.1575757575757576,794.0333333333333333,298.9636363636363636,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"2gr0AETWl2Q",2317,778856.510903426791,43759.485981308411,104.2118380062305296,46.0000000000000000,14.6323987538940810,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"i1j3TJH61dw",3966,778917.270769230769,43761.132307692308,68.9507692307692308,61.7538461538461538,11.0000000000000000,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"cBE2o2lBl3o",8235,778886.584848484848,43760.263636363636,82.4303030303030303,246.1818181818181818,8.0000000000000000,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"XRSjPV2BCO0",5929,778880.854103343465,43760.136778115502,118.1246200607902736,190.8085106382978723,11.9270516717325228,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"niMdVNBet-c",178702,2534119.012048192771,139000.870481927711,1173.6234939759036145,1490.2921686746987952,206.0542168674698795,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"IKM4fJ64urs",640,143773.545647558386,28157.363057324841,4.5944798301486200,30.4819532908704883,0E-20,"2017-12-29 01:53:24.000000",2017,12,29,1,53,24
"k4gFF5cUwJU",1890,500149.808857808858,58421.512820512821,19.4265734265734266,9.0000000000000000,4.0000000000000000,"2017-12-26 23:59:32.000000",2017,12,26,23,59,32
"zf-lOPRbn0M",25101,2534487.870967741935,139001.794721407625,581.9413489736070381,123.4721407624633431,219.7595307917888563,"2017-12-22 22:07:23.000000",2017,12,22,22,7,23
"JsZLlh55mlM",957,496339.533333333333,58364.179710144928,14.8000000000000000,17.4492753623188406,8.0000000000000000,"2017-12-22 22:07:23.000000",2017,12,22,22,7,23
"DmYFlVTDlpI",22393,786496.933054393305,43993.535564853556,152.2949790794979079,769.1213389121338912,6.0606694560669456,"2017-12-29 03:53:35.000000",2017,12,29,3,53,35
"_jOO73W_bGE",12399,501925.567567567568,58443.390852390852,174.1330561330561331,69.5010395010395010,24.7775467775467775,"2017-12-29 03:53:35.000000",2017,12,29,3,53,35
"m5MhW_SLQAw",1243,143819.141921397380,28160.534934497817,16.0000000000000000,20.8362445414847162,8.0000000000000000,"2017-12-29 03:53:35.000000",2017,12,29,3,53,35
"Y12e6D_uUk4",2672,143776.711297071130,28157.922594142259,51.5753138075313808,92.3263598326359833,8.5146443514644351,"2017-12-29 03:53:35.000000",2017,12,29,3,53,35
"xXPubpCkpmo",6349,786507.748414376321,43993.868921775899,61.4355179704016913,80.3276955602536998,4.7780126849894292,"2017-12-29 03:53:35.000000",2017,12,29,3,53,35
"8Ocg4Za6s5M",126039,3530464.337500000000,31391.852083333333,1325.4416666666666667,2430.9645833333333333,197.3375000000000000,"2017-12-29 03:53:35.000000",2017,12,29,3,53,35
"SDdkkTLCUUQ",19202,786503.626834381551,43993.727463312369,310.6289308176100629,677.5408805031446541,7.9329140461215933,"2017-12-29 03:53:35.000000",2017,12,29,3,53,35
"JFiGmegqjDg",6354,141181.810650887574,27958.914201183432,68.6656804733727811,39.6686390532544379,44.0207100591715976,"2017-12-22 23:22:31.000000",2017,12,22,23,22,31
"teY2YqsenbE",19450,500978.646569646570,58430.604989604990,62.4594594594594595,117.5114345114345114,15.6632016632016632,"2017-12-28 03:01:28.000000",2017,12,28,3,1,28
"f_Qu0K5l2EY",4280,143472.840172786177,28131.501079913607,78.2656587473002160,198.2937365010799136,8.9719222462203024,"2017-12-28 03:01:28.000000",2017,12,28,3,1,28
"DRGCWMMKfns",99,748320.875379939210,112933.033434650456,0E-20,4.0000000000000000,2.0000000000000000,"2017-12-21 23:23:09.000000",2017,12,21,23,23,9
"JQC23elQFl0",1791,778839.657051282051,43758.910256410256,33.9807692307692308,67.1891025641025641,12.0000000000000000,"2017-12-21 23:23:09.000000",2017,12,21,23,23,9
"M7nS9UenU9Y",924,498730.838775510204,58402.038775510204,5.8061224489795918,15.7244897959183673,2.0000000000000000,"2017-12-25 23:31:49.000000",2017,12,25,23,31,49
"7GZSHyiLnmQ",17411,499972.498876404494,58419.038202247191,138.8292134831460674,90.7932584269662921,57.1505617977528090,"2017-12-26 22:59:24.000000",2017,12,26,22,59,24
"cSBvfcKs4EM",205889,2551605.427937915743,139036.911308203991,186.4478935698447894,129.5831485587583149,48.1618625277161863,"2017-12-26 22:59:24.000000",2017,12,26,22,59,24
"O0sMj0sh0Ho",122680,2553393.636734693878,139039.767346938776,130.6204081632653061,111.2183673469387755,37.3224489795918367,"2017-12-26 22:59:24.000000",2017,12,26,22,59,24
"1c9XlQTYNWM",608,143006.527659574468,28093.780851063830,14.8744680851063830,26.3702127659574468,0.98723404255319148936,"2017-12-26 22:59:24.000000",2017,12,26,22,59,24
"UxlnU1m6frA",173,747727.132653061224,112900.081632653061,0E-20,6.0000000000000000,2.0000000000000000,"2017-12-20 03:07:40.000000",2017,12,20,3,7,40
"cWk_WYaBv88",727,777299.857868020305,43713.568527918782,17.0000000000000000,35.0000000000000000,2.0000000000000000,"2017-12-20 03:07:40.000000",2017,12,20,3,7,40
"2eS4EkUMvpY",2527,777263.906735751295,43712.777202072539,123.0000000000000000,116.0000000000000000,13.0000000000000000,"2017-12-20 03:07:40.000000",2017,12,20,3,7,40
"krrlYAErZHo",82711,2560631.158590308370,139052.881057268722,1627.5792951541850220,929.6740088105726872,396.7378854625550661,"2017-12-28 22:38:05.000000",2017,12,28,22,38,5
"ZoyoewDJSzc",18067,497969.575510204082,58390.344897959184,34.1183673469387755,130.1693877551020408,28.0795918367346939,"2017-12-25 02:10:34.000000",2017,12,25,2,10,34
"jC0N1eTNln4",168053,2558266.082828282828,139048.915151515152,1220.1474747474747475,603.6949494949494949,169.3050505050505051,"2017-12-26 07:32:36.000000",2017,12,26,7,32,36
"virJNVk-ZwM",176841,2548824.006263048017,139031.361169102296,638.5427974947807933,315.2755741127348643,92.4258872651356994,"2017-12-26 07:32:36.000000",2017,12,26,7,32,36
"OXnytYTUZBo",65000,3533279.158301158301,31407.476833976834,477.9054054054054054,318.7760617760617761,257.1196911196911197,"2017-12-26 07:32:36.000000",2017,12,26,7,32,36
"9nmcgRaIgQA",398,496234.078549848943,58362.232628398792,4.4078549848942598,6.0000000000000000,5.4078549848942598,"2017-12-21 20:37:50.000000",2017,12,21,20,37,50
"Os61_cZzjGE",4485,751333.762781186094,113073.885480572597,0E-20,38.9856850715746421,2.9897750511247444,"2017-12-29 00:08:14.000000",2017,12,29,0,8,14
"E9UKeZAiojo",14209,143740.496746203905,28154.271149674620,145.4164859002169197,135.5965292841648590,46.1778741865509761,"2017-12-29 00:08:14.000000",2017,12,29,0,8,14
"5t7VC4mHOyA",45203,500954.676404494382,58430.080898876404,634.3258426966292135,175.7910112359550562,95.1460674157303371,"2017-12-27 21:30:55.000000",2017,12,27,21,30,55
"1kvdhlA_BXY",1805,677683.675350701403,8912.4208416833667335,4.8797595190380762,25.9779559118236473,2.4889779559118236,"2017-12-27 21:30:55.000000",2017,12,27,21,30,55
"m4X7z7u1ctY",718,748335.309090909091,112933.830303030303,0E-20,20.0000000000000000,1.00000000000000000000,"2017-12-22 03:23:32.000000",2017,12,22,3,23,32
"FDSoA-o9uWU",3826,778859.317757009346,43759.542056074766,51.0000000000000000,37.0000000000000000,2.7320872274143302,"2017-12-22 03:23:32.000000",2017,12,22,3,23,32
"993AWkyQdVk",526,496218.265243902439,58361.862804878049,0E-20,6.0000000000000000,2.0000000000000000,"2017-12-22 03:23:32.000000",2017,12,22,3,23,32
"5B_tvFNZwMc",1509,3028350.081570996979,40636.199395770393,9.0000000000000000,16.7250755287009063,6.4622356495468278,"2017-12-22 03:23:32.000000",2017,12,22,3,23,32
"XAKwlwW92jY",2893,677337.499005964215,8911.6520874751491054,1.6620278330019881,6.0815109343936382,0.97017892644135188867,"2017-12-21 17:22:27.000000",2017,12,21,17,22,27
"7PgxjSN6LoA",400,748325.826747720365,112933.316109422492,0E-20,11.0000000000000000,0E-20,"2017-12-21 17:22:27.000000",2017,12,21,17,22,27
